dataset,signal,algo,param,N,CR,rate_bps,NMSE_dB,SNR_dB,RMSE,PRD,MAXE,PSNR_dB,fund_amp_relerr,fund_phase_err_deg,THD_abs_error,enc_time_s,dec_time_s,logical_payload_bytes,matlab_packet_bytes,encoder_working_est_bytes,decoder_working_est_bytes,edge_state_est_bytes,source_mfile_bytes
long,sparse,SVDCS,cycles=10,2560,3.19201995012469,5.0125,-90.3087336228183,90.3087336228183,2.15798450022224e-05,0.00305185094760522,3.05185094759963e-05,93.3190335794581,3.05185094759963e-05,0,1.43220445531847e-17,0.0101931,0.0032206,1604,14317,2248685,2193389,81920,28990
long,sparse,SVDCS,cycles=50,12800,15.9303049159925,1.004375,-90.3087336228183,90.3087336228183,2.15798450022224e-05,0.00305185094760522,3.05185094759963e-05,93.3190335794581,3.05185094746641e-05,0,8.9361334098848e-18,0.026728,0.0034071,1607,14640,2740528,2521392,81920,28990
long,sparse,SVDCS,cycles=200,51200,35.8920434630214,0.44578125,-39.0102243827731,39.0102243827731,0.00785964036004968,1.12069847473499,0.273216075386225,42.0919465174289,2.94977415659533e-05,2.6837352468902e-06,1.46910098255395e-06,0.0934531,0.0062276,2853,17534,4586622,3753086,81920,28990
long,sparse,SVDCS,cycles=1000,256000,131.585710614238,0.12159375,-36.5205391150274,36.5205391150274,0.0103988940544762,1.49270175782341,0.274630454733313,39.6602569285978,2.86669835255074e-05,4.87222736755165e-06,2.66898989196088e-06,0.4708715,0.0140017,3891,28556,14428044,10317708,81920,28990
long,sparse,SVDCS,cycles=5000,1280000,367.183017785427,0.043575,-36.1636213019978,36.1636213019978,0.0108205269604677,1.5553170570478,0.27491333060273,39.3150317708172,2.84992951002803e-05,5.314445214853e-06,2.91165070114181e-06,1.9520469,0.0398215,6972,81557,63633045,43138709,81920,28990
long,periodic_complex,SVDCS,cycles=10,2560,1.82726623840114,8.75625,-29.0012529042353,29.0012529042353,0.0205911658391621,3.54762212537104,0.306807584879559,32.8453000380384,5.57841303072991e-06,6.72457726280964e-05,3.7543396751813e-05,0.0113085,0.0042705,2802,15879,2250247,2194951,81920,28990
long,periodic_complex,SVDCS,cycles=50,12800,7.78825676909036,2.054375,-28.9804682234089,28.9804682234089,0.0206404979512774,3.55612148348407,0.306807584879559,32.824515357212,5.57841303141458e-06,6.72457726408186e-05,3.75433967517852e-05,0.0282963,0.0052973,3287,18140,2744028,2524892,81920,28990
long,periodic_complex,SVDCS,cycles=200,51200,23.1779085559076,0.6903125,-28.9765821455831,28.9765821455831,0.0206497346018197,3.5577128526219,0.306807584879559,32.8206292793862,5.57841302771738e-06,6.72457726408186e-05,3.75433967518962e-05,0.0923069,0.0082324,4418,25931,4595019,3761483,81920,28990
long,periodic_complex,SVDCS,cycles=1000,256000,57.7747686752426,0.2769375,-28.975546445167,28.975546445167,0.0206521970109388,3.55813709752094,0.306807584879559,32.8195935789701,5.57841307194643e-06,6.72457726408186e-05,3.75433967486627e-05,0.4982141,0.023728,8862,65895,14465383,10355047,81920,28990
long,periodic_complex_200,SVDCS,G=0.005,51200,7.98689649793308,2.00328125,-40.7782625622642,40.7782625622642,0.00530677229892241,0.914296109750019,0.163641090704404,44.6223096960673,5.57841302114467e-06,6.72457726408186e-05,3.75433967523958e-05,0.1185977,0.0200116,12821,67374,4636462,3802926,81920,28990
long,periodic_complex_200,SVDCS,G=0.01,51200,9.89658838310621,1.61671875,-37.0696901472824,37.0696901472824,0.00813315547103968,1.4012495709819,0.175601289193905,40.9137372810856,5.57841302374637e-06,6.72457726408186e-05,3.75433967521877e-05,0.1023235,0.015908,10347,52580,4621668,3788132,81920,28990
long,periodic_complex_200,SVDCS,G=0.02,51200,17.9271708683473,0.8925,-31.4336285347589,31.4336285347589,0.0155618833242185,2.68113432841387,0.240500247875552,35.277675668562,5.57841303018215e-06,6.72457726408186e-05,3.75433967516603e-05,0.0988148,0.0108993,5712,33357,4602445,3768909,81920,28990
long,periodic_complex_200,SVDCS,G=0.03,51200,23.1779085559076,0.6903125,-28.9765821455831,28.9765821455831,0.0206497346018197,3.5577128526219,0.306807584879559,32.8206292793862,5.57841302771738e-06,6.72457726408186e-05,3.75433967518962e-05,0.094424,0.0083979,4418,25931,4595019,3761483,81920,28990
long,periodic_complex_200,SVDCS,G=0.05,51200,26.3374485596708,0.6075,-26.8280501106616,26.8280501106616,0.0264448480571429,4.55614455259099,0.40168981766186,30.6720972444647,5.57841302840204e-06,6.72457726408186e-05,3.75433967518407e-05,0.0884584,0.0071176,3888,22587,4591675,3758139,81920,28990
long,periodic_complex_200,SVDCS,G=0.08,51200,29.1737891737892,0.5484375,-22.6621240523579,22.6621240523579,0.0427206034776702,7.36027087006133,0.371076580960228,26.506171186161,5.57841302593727e-06,6.72457726408186e-05,3.75433967521321e-05,0.077277,0.0057004,3510,20515,4589603,3756067,81920,28990
long,periodic_complex_200,SVDCS,G=0.12,51200,31.7519379844961,0.50390625,-21.1070546988364,21.1070546988364,0.0510964639661701,8.80333573681646,0.372128289423027,24.9511018326395,5.57841302265092e-06,6.72457726408186e-05,3.75433967523126e-05,0.0763052,0.0051027,3225,19124,4588212,3754676,81920,28990
