dataset,signal,algo,param,N,CR,rate_bps,NMSE_dB,SNR_dB,RMSE,PRD,MAXE,PSNR_dB,fund_amp_relerr,fund_phase_err_deg,THD_abs_error,enc_time_s,dec_time_s,logical_payload_bytes,matlab_packet_bytes,encoder_working_est_bytes,decoder_working_est_bytes,edge_state_est_bytes,source_mfile_bytes
IEEE1159,pure,ASBC,fixed,2560,86.7796610169491,0.184375,-294.594527938571,294.594527938571,1.31752421290651e-15,1.86326061064732e-13,5.08907991632228e-15,297.604827895211,4.44089209850063e-16,3.81666561775622e-14,3.98496390174068e-17,0.0072939,0.0011736,59,4619,249872,92219,11328,9822
IEEE1159,pure,DWT-Hybrid,fixed,2560,5.40226853073068,2.96171875,-35.5233084004896,35.5233084004896,0.0118391243507939,1.67430502235143,0.0784102294501339,38.5336083571294,0.00265820435501862,0.149356884219393,0.0038386689118956,0.0241548,0.014067,947.75,53824,217664,176704,65536,8400
IEEE1159,pure,CS-OMP,fixed,2560,4.90421455938697,3.2625,-94.6518489994766,94.6518489994766,1.30885806135466e-05,0.00185100482158911,4.31365182470556e-05,97.6621489561164,2.44904546198299e-07,0.000116860444173361,6.34683452799783e-17,0.2641248,0.2884357,1044,5793,136937472,136937472,8576,5822
IEEE1159,pure,MMC,fixed,2560,29.2571428571429,0.546875,-79.9210537311647,79.9210537311647,7.13562988329522e-05,0.0100913045570308,0.000176570554296984,82.9313536878045,1.3740993433542e-05,0.00164757770503514,6.36334149656138e-05,6.3796951,0.000867,175,69000,785800,540847,20480,22924
IEEE1159,pure,SVDCS,fixed,2560,3.19201995012469,5.0125,-90.3087336228232,90.3087336228232,2.15798450022104e-05,0.00305185094760352,3.05185094759963e-05,93.319033579463,3.05185094757743e-05,6.36110936292703e-14,5.81584536727853e-17,0.0170057,0.0037813,1604,14317,2248685,2193389,81920,28990
IEEE1159,sag,ASBC,fixed,2560,44.7161572052402,0.3578125,-33.9734530777162,33.9734530777162,0.0130242880277124,2.00136981831456,0.0793453460163015,37.7049201614701,1.63834905139243e-10,9.90153701293335e-05,3.09650567588663e-05,0.0026746,0.0005844,114.5,4763,249872,92274.5,11328,9822
IEEE1159,sag,DWT-Hybrid,fixed,2560,4,4,-34.6729029763487,34.6729029763487,0.0120165970135621,1.84652355127746,0.0785387847966942,38.4043700601025,0.00216492448895671,0.162774113194979,0.00442185218049776,0.0185606,0.0108902,1280,71488,235328,194368,65536,8400
IEEE1159,sag,CS-OMP,fixed,2560,4.90421455938697,3.2625,-43.2314356453789,43.2314356453789,0.00448595449197063,0.689331647723053,0.039171272052173,46.9629027291327,0.000541149151847903,0.0368169285755499,3.09650567588684e-05,0.2614558,0.2600383,1044,5793,136937472,136937472,8576,5822
IEEE1159,sag,MMC,fixed,2560,20.3073872087258,0.787890625,-76.5696998844263,76.5696998844263,9.65921096669807e-05,0.0148427716404533,0.00105728205286706,80.3011669681801,2.92540206193304e-05,0.00113895850199263,2.79333491708991e-05,6.2621742,0.0010065,252.125,71186,787986,540924.125,20480,22924
IEEE1159,sag,SVDCS,fixed,2560,3.12004875076173,5.128125,-72.9193581731085,72.9193581731085,0.000147047869681072,0.0225960273299361,0.0073512067287076,76.6508252568624,1.45759345499348e-05,0.000362041262665454,3.0965056758869e-05,0.0106366,0.0031996,1641,14410,2248778,2193482,81920,28990
IEEE1159,swell,ASBC,fixed,2560,48.646080760095,0.32890625,-32.9429122797982,32.9429122797982,0.0175062482049311,2.25348351813216,0.0937419533767448,37.4150054134241,8.53115632694359e-11,2.39818126145611e-05,2.58515537894893e-05,0.0009112,0.0002786,105.25,4739,249872,92265.25,11328,9822
IEEE1159,swell,DWT-Hybrid,fixed,2560,4.04943153732081,3.951171875,-35.3800132738592,35.3800132738592,0.013223244614018,1.70215590714211,0.0737136631879998,39.8521064074851,0.000934590275361649,0.0891744709903897,0.00592823325268593,0.015315,0.0089639,1264.375,70640,234480,193520,65536,8400
IEEE1159,swell,CS-OMP,fixed,2560,4.90421455938697,3.2625,-44.7692022338118,44.7692022338118,0.00448619951351156,0.577483909996385,0.03916604464659,49.2412953674377,0.000453043856658723,0.0308830538612977,2.58515537894411e-05,0.3139915,0.3159153,1044,5793,136937472,136937472,8576,5822
IEEE1159,swell,MMC,fixed,2560,25.252774352651,0.63359375,-76.6952984708385,76.6952984708385,0.000113651133647438,0.0146296884114437,0.00115057773024507,81.1673916044645,1.21480422806668e-05,0.0014188606514012,3.62772568835561e-05,6.3244305,0.0004624,202.75,69636,786436,540874.75,20480,22924
IEEE1159,swell,SVDCS,fixed,2560,3.09927360774818,5.1625,-74.4470482394547,74.4470482394547,0.000147226600303795,0.0189516744725338,0.00733768112325315,78.9191413730806,1.02299765315177e-05,0.000302254546226821,2.58515537894381e-05,0.0097191,0.0033061,1652,14421,2248789,2193493,81920,28990
IEEE1159,interruption,ASBC,fixed,2560,38.4962406015038,0.415625,-27.8284028595778,27.8284028595778,0.0240222528135745,4.06050319940292,0.185661597999542,32.3877253353099,1.37536205641644e-06,6.94142905345805e-05,0.000134181981973207,0.0008104,0.0002576,133,4811,249872,92293,11328,9822
IEEE1159,interruption,DWT-Hybrid,fixed,2560,4.14784810126582,3.857421875,-25.654374860392,25.654374860392,0.0308542598804094,5.21532355569984,0.1445361927218,30.2136973361241,0.0156079144529759,0.789951279960132,0.0121576332078419,0.0131685,0.0079403,1234.375,68672,232512,191552,65536,8400
IEEE1159,interruption,CS-OMP,fixed,2560,4.90421455938697,3.2625,-31.9460494522326,31.9460494522326,0.0149531057121575,2.52753703228515,0.130591165072223,36.5053719279648,0.0023545961683788,0.159248475506035,0.000134181981973213,0.2730758,0.3006332,1044,5793,136937472,136937472,8576,5822
IEEE1159,interruption,MMC,fixed,2560,31.1957349581112,0.512890625,-75.3914579810715,75.3914579810715,0.000100568269492225,0.0169991458836384,0.00144198998003691,79.9507804568036,1.03713728517304e-05,0.00232265587979689,1.32710163744525e-05,6.5318968,0.0008275,164.125,68568,785368,540836.125,20480,22924
IEEE1159,interruption,SVDCS,fixed,2560,2.8024083196497,5.709375,-62.1314062086306,62.1314062086306,0.00046287483024261,0.0782401527329333,0.0220721388858772,66.6907286843628,3.11909422421914e-05,0.000429471919486851,1.0674042328274e-05,0.0097922,0.0033932,1827,14596,2248964,2193668,81920,28990
IEEE1159,harmonics,ASBC,fixed,2560,60.5917159763314,0.2640625,-33.6968671628163,33.6968671628163,0.0131875431101957,2.06612523398379,0.0254848058090558,36.4776286126459,0,3.81666561775622e-14,0.017997316212767,0.0084147,0.0009184,84.5,6491,249968,92244.5,11712,9822
IEEE1159,harmonics,DWT-Hybrid,fixed,2560,2.81821934773634,5.67734375,-37.5724165203979,37.5724165203979,0.00844085470085156,1.32244973518508,0.0631503358131603,40.3531779702274,0.00123705888408753,0.0507299114627166,0.000205489700051513,0.0158169,0.0171009,1816.75,108520,272360,231400,65536,8400
IEEE1159,harmonics,CS-OMP,fixed,2560,4.90421455938697,3.2625,-95.2428189778234,95.2428189778234,1.10373877948279e-05,0.00172925504391547,3.84795895801426e-05,98.023580427653,4.6465743008095e-06,3.32721024102575e-05,1.89230002808211e-06,0.2752881,0.3028839,1044,5793,136937472,136937472,8576,5822
IEEE1159,harmonics,MMC,fixed,2560,16.4234161988773,0.97421875,-52.9568680966022,52.9568680966022,0.00143603110060034,0.22498657020063,0.00980517198918276,55.7376295464318,2.06969808991964e-05,0.00256023110981063,6.5498019405176e-05,5.6860175,0.0006257,311.75,72626,789426,540983.75,20480,22924
