algo,median_CR,geomean_CR,median_SNR_dB,worst_SNR_dB,complex_CR,complex_SNR_dB
ASBC,41.60619890337196,30.369318307530055,33.25826199275488,25.8519530381167,8.927637314734088,28.497861085119776
CS-OMP,4.904214559386973,4.904214559386974,37.852722865489156,23.95868666281819,4.904214559386973,26.414319920633112
DWT-Hybrid,4.1297361365594325,4.1033419535790605,35.29186551653726,25.654374860391968,3.332519729883655,35.83677071157738
MMC,25.307501727409118,22.576721118909973,73.67429648842185,34.12943309870558,16.312226204699325,34.90524314001948
SVDCS,2.842645601266291,2.493658679064167,63.16626023821927,25.487557666254297,1.827266238401142,29.00152005961097
