cycles,CR,NMSE_dB,payload_bytes,seconds
10,3.1920199501246884,-88.89092257236597,1604,0.2
50,15.930304915992533,-88.89092257236597,1607,1.0
200,63.8006230529595,-88.89092257236597,1605,4.0
1000,318.6060983198507,-88.89092257236597,1607,20.0
5000,1586.1214374225526,-88.89092257236597,1614,100.0
