G,CR,NMSE_dB,SNR_dB,rate_bps
0.005,7.9868964979330785,-40.77850774544516,40.77850774544516,2.00328125
0.01,9.896588383106215,-37.070103229004545,37.070103229004545,1.61671875
0.02,17.92717086834734,-31.433892173442235,31.433892173442235,0.8925
0.03,23.17790855590765,-28.976853286006264,28.976853286006264,0.6903125
0.05,26.337448559670783,-26.828366662437503,26.828366662437503,0.6074999999999999
0.08,29.173789173789174,-22.662399547874035,22.662399547874035,0.5484375
0.12,31.751937984496124,-21.107294674090355,21.107294674090355,0.50390625
